,team_name,opponent_name,conference,home,away,neutral,offensive_efficiency,adjusted_offensive_efficiency
94,Northern Arizona Lumberjacks,Xavier Musketeers,Big Sky,0,1,0,0.8893,0.9693626343974755
95,Xavier Musketeers,Northern Arizona Lumberjacks,Big East,1,0,0,1.32054,1.1990573450524349
96,Marist Red Foxes,Bucknell Bison,MAAC,0,1,0,1.16677,1.1526297752360417
97,Bucknell Bison,Marist Red Foxes,Patriot,1,0,0,1.22915,1.1852124905128663
98,Monmouth Hawks,West Virginia Mountaineers,MAAC,0,1,0,0.84358,0.9682005148215357
99,West Virginia Mountaineers,Monmouth Hawks,Big 12,1,0,0,0.98097,0.8856827805589587
100,Wagner Seahawks,Maryland Terrapins,NEC,0,1,0,0.72548,0.877397295247347
101,Maryland Terrapins,Wagner Seahawks,Big Ten,1,0,0,1.29341,1.105304221054994
102,Cornell Big Red,George Mason Patriots,Ivy,0,1,0,1.02183,1.0074187838692834
103,George Mason Patriots,Cornell Big Red,A-10,1,0,0,0.90266,0.8535344181377325
104,Minnesota Golden Gophers,Louisville Cardinals,Big Ten,0,0,1,0.90211,0.9901809684075662
105,Louisville Cardinals,Minnesota Golden Gophers,ACC,0,0,1,1.11785,1.0780841147525453
106,South Dakota State Jackrabbits,Buffalo Bulls,Summit,0,1,0,0.9462,1.007765483923096
107,Buffalo Bulls,South Dakota State Jackrabbits,MAC,1,0,0,0.9819,0.9636899077271385
108,Radford Highlanders,Richmond Spiders,Big South,0,1,0,0.76691,0.8633339841368515
109,Richmond Spiders,Radford Highlanders,A-10,1,0,0,1.08085,0.9961206162322257
110,American University Eagles,Temple Owls,Patriot,0,1,0,0.69721,0.8086632497908041
111,Temple Owls,American University Eagles,American,1,0,0,0.77275,0.7537474862663589
112,Hartford Hawks,Sacred Heart Pioneers,AM. EAST,0,0,1,0.81766,0.8317171723041221
113,Sacred Heart Pioneers,Hartford Hawks,NEC,0,0,1,1.0889,1.1121244007999396
114,Northwestern State Demons,Texas A&M Aggies,Southland,0,1,0,0.89572,1.0063996828872004
115,Texas A&M Aggies,Northwestern State Demons,SEC,1,0,0,1.40383,1.1651115542653447
116,Houston Christian Huskies,Northwestern Wildcats,Southland,0,1,0,1.0555,1.0954288968271975
117,Northwestern Wildcats,Houston Christian Huskies,Big Ten,1,0,0,1.16018,0.927322363004367
118,Drexel Dragons,Colorado Buffaloes,CAA,0,1,0,0.76734,0.8174519988416299
119,Colorado Buffaloes,Drexel Dragons,Pac-12,1,0,0,0.98758,0.8754291769142135
120,Florida Atlantic Owls,Elon Phoenix,CUSA,0,1,0,0.89427,0.8910122152626485
121,Elon Phoenix,Florida Atlantic Owls,CAA,1,0,0,0.98503,0.9092385322506104
122,Grand Canyon Lopes,Kentucky Wildcats,WAC,0,1,0,0.69921,1.0711462376486676
123,Kentucky Wildcats,Grand Canyon Lopes,SEC,1,0,0,1.31445,1.1209090335237466
124,UMBC Retrievers,Akron Zips,AM. EAST,0,1,0,0.92312,1.0401531809062683
125,Akron Zips,UMBC Retrievers,MAC,1,0,0,1.18153,1.03307559713146
126,Air Force Falcons,Army Black Knights,Mountain West,0,1,0,1.13478,1.099067808767812
127,Army Black Knights,Air Force Falcons,Patriot,1,0,0,1.31619,1.2562286558523619
128,Pacific Tigers,Western Illinois Leathernecks,WCC,0,1,0,1.06263,0.9689120384098726
129,Western Illinois Leathernecks,Pacific Tigers,Summit,1,0,0,1.04698,0.9641824214540508
130,Houston Cougars,Murray State Racers,American,0,1,0,1.04875,1.0592745021719594
131,Murray State Racers,Houston Cougars,OVC,1,0,0,1.02942,0.9978594387909955
132,St. Francis (PA) Red Flash,Cincinnati Bearcats,NEC,0,1,0,0.62244,0.799159174609215
133,Cincinnati Bearcats,St. Francis (PA) Red Flash,American,1,0,0,0.89031,0.8637286619329264
134,Indiana State Sycamores,IU Indianapolis Jaguars,MVC,0,1,0,1.10845,1.103162744680848
135,IU Indianapolis Jaguars,Indiana State Sycamores,Summit,1,0,0,0.9152,0.9130404262767778
136,UT Arlington Mavericks,Bradley Braves,Sun Belt,0,1,0,1.14909,1.1819855252297615
137,Bradley Braves,UT Arlington Mavericks,MVC,1,0,0,1.02796,0.9812273621572031
138,Saint Peter's Peacocks,Brown Bears,MAAC,0,1,0,0.95475,0.9321383320895557
139,Brown Bears,Saint Peter's Peacocks,Ivy,1,0,0,1.19145,1.1850064987616475
140,SE Louisiana Lions,Oklahoma State Cowboys,Southland,0,1,0,0.76798,0.8873235760816633
141,Oklahoma State Cowboys,SE Louisiana Lions,Big 12,1,0,0,1.18566,1.0505553461831558
142,Prairie View A&M Panthers,TCU Horned Frogs,SWAC,0,1,0,0.82818,1.023834119155323
143,TCU Horned Frogs,Prairie View A&M Panthers,Big 12,1,0,0,1.10123,0.9591492489426998
144,Oakland Golden Grizzlies,Iowa State Cyclones,Horizon,0,1,0,1.18965,1.2592298455592361
145,Iowa State Cyclones,Oakland Golden Grizzlies,Big 12,1,0,0,1.34027,1.1569103118922948
146,Eastern Illinois Panthers,Missouri State Bears,OVC,0,1,0,0.9486,0.9238968064910893
147,Missouri State Bears,Eastern Illinois Panthers,MVC,1,0,0,1.21212,1.1443386664621529
148,Charleston Cougars,Furman Paladins,CAA,0,1,0,1.2858,1.200305462474353
149,Furman Paladins,Charleston Cougars,Southern,1,0,0,0.70146,0.6163847639615566
150,East Tennessee State Buccaneers,Valparaiso Beacons,Southern,0,1,0,1.05387,1.0646258536416144
151,Valparaiso Beacons,East Tennessee State Buccaneers,Horizon,1,0,0,1.25133,1.1871028239217551
152,Jacksonville Dolphins,Hofstra Pride,ASUN,0,1,0,0.88105,0.8928756615429668
153,Hofstra Pride,Jacksonville Dolphins,CAA,1,0,0,1.38692,1.2153038933009925
154,Towson Tigers,Alabama Crimson Tide,CAA,0,1,0,0.87074,0.9354456984976619
155,Alabama Crimson Tide,Towson Tigers,SEC,1,0,0,1.30686,1.1533618237506567
156,North Dakota State Bison,Texas Longhorns,Summit,0,1,0,0.74962,0.8701131413717462
157,Texas Longhorns,North Dakota State Bison,Big 12,1,0,0,1.27876,1.1638186097041288
158,Georgia Southern Eagles,Illinois Fighting Illini,Sun Belt,0,1,0,1.01591,1.1325891814972169
159,Illinois Fighting Illini,Georgia Southern Eagles,Big Ten,1,0,0,1.17437,1.1008018251305098
160,Louisiana Tech Bulldogs,Southern Jaguars,CUSA,0,1,0,1.18689,1.1826963038727383
161,Southern Jaguars,Louisiana Tech Bulldogs,SWAC,1,0,0,1.12773,1.2709959846557874
162,Kansas City Roos,Missouri Tigers,WAC,0,1,0,1.07662,1.165895818091105
163,Missouri Tigers,Kansas City Roos,SEC,1,0,0,0.90722,0.7398910885458443
164,Binghamton Bearcats,Notre Dame Fighting Irish,AM. EAST,0,0,1,0.63755,0.7535364146022431
165,Notre Dame Fighting Irish,Binghamton Bearcats,ACC,0,0,1,1.31572,1.1697219589809662
166,Southeast Missouri State Redhawks,Loyola Marymount Lions,OVC,0,1,0,1.1219,1.0627139316844585
167,Loyola Marymount Lions,Southeast Missouri State Redhawks,WCC,1,0,0,1.25821,1.1504415842432238
168,Loyola Maryland Greyhounds,Texas Tech Red Raiders,Patriot,0,1,0,1.00554,1.0705932086702918
169,Texas Tech Red Raiders,Loyola Maryland Greyhounds,Big 12,1,0,0,1.18675,1.0500181815051026
170,Southern Utah Thunderbirds,Kansas State Wildcats,Big Sky,0,1,0,0.9827,1.0622110225591126
171,Kansas State Wildcats,Southern Utah Thunderbirds,Big 12,1,0,0,1.43537,1.2112909925834767
172,Central Arkansas Bears,Creighton Bluejays,Southland,0,1,0,1.01787,1.0472346767792096
173,Creighton Bluejays,Central Arkansas Bears,Big East,1,0,0,1.35079,1.090648244999715
174,Weber State Wildcats,Utah State Aggies,Big Sky,0,1,0,0.94669,0.9571201976646823
175,Utah State Aggies,Weber State Wildcats,Mountain West,1,0,0,1.1268,1.044225451377018
176,South Dakota Coyotes,Utah Valley Wolverines,Summit,0,1,0,0.82925,0.7896069475774004
177,Utah Valley Wolverines,South Dakota Coyotes,WAC,1,0,0,0.9705,0.9987936426075051
178,Hampton Pirates,Iowa Hawkeyes,MEAC,0,0,1,0.80482,0.9919257779677239
179,Iowa Hawkeyes,Hampton Pirates,Big Ten,0,0,1,1.31082,1.2210743841701444
180,UT Martin Skyhawks,Marquette Golden Eagles,OVC,0,1,0,0.98773,1.0728901251381144
181,Marquette Golden Eagles,UT Martin Skyhawks,Big East,1,0,0,1.26369,1.1053844497012275
182,Michigan State Spartans,Navy Midshipmen,Big Ten,0,1,0,1.0352,0.9194190981502173
183,Navy Midshipmen,Michigan State Spartans,Patriot,1,0,0,0.93973,1.0604936851956714
184,McNeese Cowboys,Baylor Bears,Southland,0,1,0,0.60096,0.7522113958299715
185,Baylor Bears,McNeese Cowboys,Big 12,1,0,0,1.22333,1.0198897892462837
186,Milwaukee Panthers,Auburn Tigers,Horizon,0,1,0,1.11563,1.1223108475152828
187,Auburn Tigers,Milwaukee Panthers,SEC,1,0,0,1.2323,1.094600282782431
188,Cal State Fullerton Titans,Santa Clara Broncos,Big West,0,1,0,1.03706,1.0073553821933525
189,Santa Clara Broncos,Cal State Fullerton Titans,WCC,1,0,0,1.31241,1.1651431115658404
190,Cal State Northridge Matadors,San Diego State Aztecs,Big West,0,1,0,0.90716,1.0379939623206769
191,San Diego State Aztecs,Cal State Northridge Matadors,Mountain West,1,0,0,1.27703,1.1816754273471408
192,South Carolina State Bulldogs,Washington Huskies,MEAC,0,1,0,0.85692,0.9771862859036413
193,Washington Huskies,South Carolina State Bulldogs,Pac-12,1,0,0,1.12211,0.9785175662684337
194,Washington State Cougars,UTEP Miners,Pac-12,0,1,0,0.73797,0.7512494516633348
195,UTEP Miners,Washington State Cougars,CUSA,1,0,0,0.94777,0.8612137083419334
196,Alcorn State Braves,California Golden Bears,SWAC,0,1,0,0.89528,1.0736197035841217
197,California Golden Bears,Alcorn State Braves,Pac-12,1,0,0,1.35961,1.1215560192155478
198,Rice Owls,Oregon State Beavers,CUSA,0,1,0,0.87074,0.9885050929082986
199,Oregon State Beavers,Rice Owls,Pac-12,1,0,0,1.11629,1.026577728801199
200,Texas State Bobcats,Seattle U Redhawks,Sun Belt,0,1,0,1.06785,1.080057242917036
201,Seattle U Redhawks,Texas State Bobcats,WAC,1,0,0,0.96383,1.1162515394238817
202,Chicago State Cougars,Arizona State Sun Devils,WAC,0,1,0,0.79981,0.9657650059918029
203,Arizona State Sun Devils,Chicago State Cougars,Pac-12,1,0,0,1.33786,1.2119762138439334
204,Cal State Bakersfield Roadrunners,High Point Panthers,WAC,0,0,1,1.0869,1.1722290474305104
205,High Point Panthers,Cal State Bakersfield Roadrunners,Big South,0,0,1,1.11911,1.1107200495663498
206,UIC Flames,DePaul Blue Demons,Horizon,0,0,1,1.12467,1.1076811909350852
207,DePaul Blue Demons,UIC Flames,Big East,0,0,1,1.11012,0.9723510911966754
208,Fresno State Bulldogs,Pepperdine Waves,Mountain West,0,1,0,1.11521,1.1844131783580907
209,Pepperdine Waves,Fresno State Bulldogs,WCC,1,0,0,1.30428,1.1849725404798017
210,Idaho State Bengals,New Mexico Lobos,Big Sky,0,1,0,0.81566,0.8816747138833817
211,New Mexico Lobos,Idaho State Bengals,Mountain West,1,0,0,1.17964,1.0857036999076266
212,Morehead State Eagles,UNLV Rebels,OVC,0,1,0,0.98871,1.0536306667899293
213,UNLV Rebels,Morehead State Eagles,Mountain West,1,0,0,1.01002,1.0007740705039812
214,Coppin State Eagles,Oregon Ducks,MEAC,0,1,0,0.89325,1.0154835674886695
215,Oregon Ducks,Coppin State Eagles,Pac-12,1,0,0,1.47666,1.266853856303724
216,Wofford Terriers,Stanford Cardinal,Southern,0,1,0,1.01416,1.0010224806471726
217,Stanford Cardinal,Wofford Terriers,Pac-12,1,0,0,1.18009,1.1668850285578416
218,Montana State Bobcats,UCLA Bruins,Big Sky,0,1,0,1.02227,1.0801915015429437
219,UCLA Bruins,Montana State Bobcats,Pac-12,1,0,0,1.4425,1.2834795159478216
220,Arkansas-Pine Bluff Golden Lions,Hawai'i Rainbow Warriors,SWAC,0,1,0,0.85901,1.000859379555739
221,Hawai'i Rainbow Warriors,Arkansas-Pine Bluff Golden Lions,Big West,1,0,0,1.18371,1.0737658409852193
222,St. Francis Brooklyn Terriers,Georgetown Hoyas,NEC,0,1,0,0.87892,1.014387869072695
223,Georgetown Hoyas,St. Francis Brooklyn Terriers,Big East,1,0,0,1.18436,1.0512928638741688
224,Gardner-Webb Runnin' Bulldogs,LSU Tigers,Big South,0,1,0,1.10643,1.2267307011194242
225,LSU Tigers,Gardner-Webb Runnin' Bulldogs,SEC,1,0,0,1.25551,1.0633872298465006
226,Manhattan Jaspers,Florida State Seminoles,MAAC,0,1,0,0.88322,0.9470292765633262
