ESPN_Name,Conference
Mercer Bears,Southern
Samford Bulldogs,Southern
The Citadel Bulldogs,Southern
UNC Greensboro Spartans,Southern
VMI Keydets,Southern
Western Carolina Catamounts,Southern
Wofford Terriers,Southern
Houston Christian Huskies,Southland
Incarnate Word Cardinals,Southland
Lamar Cardinals,Southland
McNeese Cowboys,Southland
New Orleans Privateers,Southland
Nicholls Colonels,Southland
Northwestern State Demons,Southland
SE Louisiana Lions,Southland
Texas A&M-Commerce Lions,Southland
Texas A&M-Corpus Christi Islanders,Southland
Denver Pioneers,Summit League
Kansas City Roos,Summit League
North Dakota Fighting Hawks,Summit League
North Dakota State Bison,Summit League
Omaha Mavericks,Summit League
Oral Roberts Golden Eagles,Summit League
South Dakota Coyotes,Summit League
South Dakota State Jackrabbits,Summit League
St. Thomas-Minnesota Tommies,Summit League
Appalachian State Mountaineers,Sun Belt
Arkansas State Red Wolves,Sun Belt
Coastal Carolina Chanticleers,Sun Belt
Georgia Southern Eagles,Sun Belt
Georgia State Panthers,Sun Belt
James Madison Dukes,Sun Belt
Louisiana Ragin' Cajuns,Sun Belt
Marshall Thundering Herd,Sun Belt
Old Dominion Monarchs,Sun Belt
South Alabama Jaguars,Sun Belt
Southern Miss Golden Eagles,Sun Belt
Texas State Bobcats,Sun Belt
Troy Trojans,Sun Belt
UL Monroe Warhawks,Sun Belt
Abilene Christian Wildcats,WAC
California Baptist Lancers,WAC
Grand Canyon Lopes,WAC
Seattle U Redhawks,WAC
Southern Utah Thunderbirds,WAC
Stephen F. Austin Lumberjacks,WAC
Tarleton State Texans,WAC
UT Arlington Mavericks,WAC
UT Rio Grande Valley Vaqueros,WAC
Utah Tech Trailblazers,WAC
Utah Valley Wolverines,WAC
Gonzaga Bulldogs,West Coast
Loyola Marymount Lions,West Coast
Pacific Tigers,West Coast
Pepperdine Waves,West Coast
Portland Pilots,West Coast
Saint Mary's Gaels,West Coast
San Diego Toreros,West Coast
San Francisco Dons,West Coast
Santa Clara Broncos,West Coast
